대분류,중분류,소분류,업종코드,업종명
A,3,32,3213,수산물 부화 및 수산 종자 생산업
A,3,32,322,어업 관련 서비스업
A,3,32,3220,어업 관련 서비스업
A,1,11,11,작물 재배업
A,1,11,111,곡물 및 기타 식량작물 재배업
A,1,11,1110,곡물 및 기타 식량작물 재배업
A,1,11,112,채소_화훼작물 및 종묘 재배업
A,1,11,1121,채소작물 재배업
A,1,11,1122,화훼작물 재배업
A,1,11,1123,종자 및 묘목 생산업
A,1,11,113,과실_음료용 및 향신용 작물 재배업
A,1,11,1131,과실작물 재배업
A,1,11,1132,음료용 및 향신용 작물 재배업
A,1,11,114,기타 작물 재배업
A,1,11,1140,기타 작물 재배업
A,1,11,115,시설작물 재배업
A,1,11,1151,콩나물 재배업
A,1,11,1152,채소_화훼 및 과실작물 시설 재배업
A,1,11,1159,기타 시설작물 재배업
A,1,12,12,축산업
A,1,12,121,소 사육업
A,1,12,1211,젖소 사육업
A,1,12,1212,육우 사육업
A,1,12,122,양돈업
A,1,12,1220,양돈업
A,1,12,123,가금류 및 조류 사육업
A,1,12,1231,양계업
A,1,12,1239,기타 가금류 및 조류 사육업
A,1,12,129,기타 축산업
A,1,12,1291,말 및 양 사육업
A,1,12,1299,그 외 기타 축산업
A,1,13,13,작물재배 및 축산 복합농업
A,1,13,130,작물재배 및 축산 복합농업
A,1,13,1300,작물재배 및 축산 복합농업
A,1,14,14,작물재배 및 축산 관련 서비스업
A,1,14,141,작물재배 관련 서비스업
A,1,14,1411,작물재배 지원 서비스업
A,1,14,1412,농산물 건조_선별 및 기타 수확 후 서비스업
A,1,14,142,축산 관련 서비스업
A,1,14,1420,축산 관련 서비스업
A,1,15,15,수렵 및 관련 서비스업
A,1,15,150,수렵 및 관련 서비스업
A,1,15,1500,수렵 및 관련 서비스업
A,2,20,20,임업
A,2,20,201,영림업
A,2,20,2011,임업용 종묘 생산업
A,2,20,2012,육림업
A,2,20,202,벌목업
A,2,20,2020,벌목업
A,2,20,203,임산물 채취업
A,2,20,2030,임산물 채취업
A,2,20,204,임업 관련 서비스업
A,2,20,2040,임업 관련 서비스업
A,3,31,31,어로 어업
A,3,31,311,해수면 어업
A,3,31,3111,원양 어업
A,3,31,3112,연근해 어업
A,3,31,312,내수면 어업
A,3,31,3120,내수면 어업
A,3,32,32,양식어업 및 어업관련 서비스업
A,3,32,321,양식 어업
A,3,32,3211,해수면 양식 어업
A,3,32,3212,내수면 양식 어업
B,5,51,51,석탄 광업
B,5,51,510,석탄 광업
B,5,51,5100,석탄 광업
B,5,52,52,원유 및 천연가스 채굴업
